,City,Country,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed,Pressure,Date,dt
284,Vestmannaeyjar,IS,63.4427,-20.2734,100,80,40.96,23.94,1013,2021-10-16,1634417509
285,Angoche,MZ,-16.2325,39.9086,0,80,76.46,15.3,1011,2021-10-16,1634417509
286,Egvekinot,RU,66.3167,-179.1667,47,85,15.78,13.24,1011,2021-10-16,1634417510
287,Abu Samrah,SY,35.3029,37.1841,33,60,66.87,9.4,1014,2021-10-16,1634417510
288,Gladstone,AU,-23.85,151.25,0,77,65.79,5.75,1014,2021-10-16,1634417510
289,Todos Santos,MX,23.45,-110.2167,85,66,91.11,5.44,1013,2021-10-16,1634417511
290,Limbang,MY,4.75,115.0,100,92,77.31,1.88,1008,2021-10-16,1634417511
291,Bonavista,CA,48.6499,-53.1147,100,95,45.12,30.31,1010,2021-10-16,1634417511
292,Yulara,AU,-25.2406,130.9889,51,21,71.44,12.66,1011,2021-10-16,1634417512
293,Manavgat,TR,36.7867,31.4431,39,74,72.01,6.51,1015,2021-10-16,1634417512
294,Carnarvon,AU,-24.8667,113.6333,75,77,64.47,9.22,1011,2021-10-16,1634417512
295,Aykino,RU,62.2248,49.9922,100,93,42.49,11.05,1002,2021-10-16,1634417513
296,Port Shepstone,ZA,-30.7414,30.455,94,78,63.05,12.93,1018,2021-10-16,1634417513
297,Isla Vista,US,34.4133,-119.861,1,14,89.08,4.61,1014,2021-10-16,1634417513
298,Saint Lawrence,MT,36.0553,14.204,98,74,65.86,10.49,1018,2021-10-16,1634417514
299,Batagay-Alyta,RU,67.8006,130.4114,40,89,-3.91,3.87,1024,2021-10-16,1634417514
300,Arrondissement de Toul,FR,48.6667,5.9167,40,97,45.72,4.61,1019,2021-10-16,1634417514
301,Lorengau,PG,-2.0226,147.2712,96,73,83.21,11.43,1011,2021-10-16,1634417515
302,Morón,AR,-34.6534,-58.6198,1,39,69.8,5.01,1019,2021-10-16,1634417234
303,Vågåmo,NO,61.8751,9.0967,90,92,32.99,4.32,1010,2021-10-16,1634417515
304,Victor Harbor,AU,-35.5667,138.6167,7,92,51.91,4.38,1012,2021-10-16,1634417515
305,Atbasar,KZ,51.8,68.3333,100,61,44.51,4.85,1026,2021-10-16,1634417516
306,Katsuura,JP,35.1333,140.3,19,85,71.19,16.17,1007,2021-10-16,1634417516
307,Ishigaki,JP,24.3448,124.1572,80,82,77.45,40.15,1016,2021-10-16,1634417516
308,Pacific Grove,US,36.6177,-121.9166,1,7,92.57,9.22,1015,2021-10-16,1634417517
309,Leningradskiy,RU,69.3833,178.4167,100,95,12.94,5.01,1018,2021-10-16,1634417517
310,Abhā,SA,18.2164,42.5053,0,14,66.02,8.05,1025,2021-10-16,1634417517
311,Baruun-Urt,MN,46.6806,113.2792,11,50,25.81,10.31,1028,2021-10-16,1634417518
312,Seoul,KR,37.5683,126.9778,0,45,37.0,11.5,1030,2021-10-16,1634417261
313,Manta,EC,-0.95,-80.7333,40,74,80.38,12.66,1010,2021-10-16,1634417518
314,Port Moresby,PG,-9.4431,147.1797,40,94,76.42,5.75,1009,2021-10-16,1634417518
315,Iskateley,RU,67.6803,53.1512,100,95,35.73,12.53,997,2021-10-16,1634417518
316,Karratha,AU,-20.7377,116.8463,14,67,70.93,10.67,1010,2021-10-16,1634417519
317,Chorozinho,BR,-4.3003,-38.4978,34,68,83.88,8.93,1011,2021-10-16,1634417519
318,Kargasok,RU,59.0556,80.8572,6,91,36.34,6.35,1025,2021-10-16,1634417519
319,Neverkino,RU,52.7854,46.7417,100,57,43.03,5.82,1020,2021-10-16,1634417520
320,Tvrdošín,SK,49.337,19.556,15,95,42.69,1.48,1024,2021-10-16,1634417520
321,Marawi,PH,7.9986,124.2928,69,95,66.65,1.81,1012,2021-10-16,1634417521
322,Kudahuvadhoo,MV,2.6708,72.8944,99,77,82.33,23.87,1007,2021-10-16,1634417521
323,Barra do Garças,BR,-15.89,-52.2567,20,40,91.98,5.75,1012,2021-10-16,1634417521
324,Walvis Bay,NA,-22.9575,14.5053,0,67,56.35,8.05,1016,2021-10-16,1634417522
325,Sterling,US,39.0062,-77.4286,90,96,64.54,5.99,1008,2021-10-16,1634417522
326,Uspenka,UA,48.3903,39.1619,100,56,52.29,4.56,1016,2021-10-16,1634417523
327,Saint George,US,37.1041,-113.5841,1,18,79.27,1.99,1022,2021-10-16,1634417523
328,Birjand,IR,32.8663,59.2211,0,13,46.87,4.61,1018,2021-10-16,1634417230
329,Marystown,CA,47.1666,-55.1483,87,100,48.85,8.99,1008,2021-10-16,1634417523
330,Nishihara,JP,26.1842,127.7558,90,94,74.48,18.41,1015,2021-10-16,1634417524
331,Alugan,PH,12.2188,125.4808,41,91,77.67,4.99,1010,2021-10-16,1634417524
332,Rome,US,43.2128,-75.4557,90,94,60.96,14.97,1002,2021-10-16,1634417438
333,Baghlan,AF,36.1307,68.7083,5,23,52.38,1.54,1018,2021-10-16,1634417524
334,Noumea,NC,-22.2763,166.4572,54,99,77.0,1.1,1015,2021-10-16,1634417454
335,Natal,BR,-5.795,-35.2094,75,74,83.05,16.11,1011,2021-10-16,1634417419
336,San Cristobal,VE,7.7669,-72.225,100,57,78.98,3.13,1010,2021-10-16,1634417525
337,Jutogh,IN,31.1,77.1167,0,45,56.48,6.89,1011,2021-10-16,1634417525
338,Hambantota,LK,6.1241,81.1185,70,80,79.75,19.77,1006,2021-10-16,1634417525
339,Hohhot,CN,40.8106,111.6522,0,68,21.49,2.24,1033,2021-10-16,1634417526
340,Tadine,NC,-21.55,167.8833,100,83,76.23,6.85,1016,2021-10-16,1634417526
341,Cocorit,MX,27.5833,-109.9667,5,16,95.81,5.66,1010,2021-10-16,1634417526
342,Terenos,BR,-20.4422,-54.8603,75,78,74.91,8.05,1015,2021-10-16,1634417527
343,Zapolyarnyy,RU,69.4154,30.8136,100,98,38.48,9.8,985,2021-10-16,1634417527
344,Say,NE,13.1007,2.3689,5,16,93.76,3.42,1009,2021-10-16,1634417527
345,Tekkali,IN,18.6167,84.2333,99,88,77.9,2.59,1003,2021-10-16,1634417528
346,Mocuba,MZ,-16.8392,36.9856,13,41,85.39,10.54,1008,2021-10-16,1634417528
347,Staffanstorp,SE,55.6428,13.2064,40,79,48.83,1.99,1014,2021-10-16,1634417528
348,Geraldton,AU,-28.7667,114.6,90,87,52.21,9.22,1010,2021-10-16,1634417529
349,Srednekolymsk,RU,67.45,153.6833,94,99,2.93,6.02,1022,2021-10-16,1634417529
350,Wenling,CN,28.3669,121.36,99,72,57.9,20.09,1027,2021-10-16,1634417529
351,Baykit,RU,61.67,96.37,100,95,28.51,0.94,1029,2021-10-16,1634417530
352,São Francisco de Assis,BR,-29.5503,-55.1311,100,83,61.74,7.72,1019,2021-10-16,1634417530
353,Gouré,NE,13.9835,10.2704,81,60,78.94,11.77,1012,2021-10-16,1634417530
354,Boende,CD,-0.2167,20.8667,59,84,72.95,2.19,1010,2021-10-16,1634417531
355,Fritzlar,DE,51.1333,9.2833,87,93,46.27,1.14,1021,2021-10-16,1634417531
356,Bahía Blanca,AR,-38.7196,-62.2724,6,19,74.75,15.03,1013,2021-10-16,1634417504
357,Terney,RU,45.0503,136.6092,25,64,28.6,13.11,1015,2021-10-16,1634417531
358,Aykhal,RU,66.0,111.5,90,99,6.26,4.21,1024,2021-10-16,1634417532
359,Sistranda,NO,63.7256,8.834,69,54,45.9,27.2,1006,2021-10-16,1634417532
360,Tahoua,NE,14.8888,5.2692,12,37,87.91,18.81,1010,2021-10-16,1634417532
361,Borzna,UA,51.2546,32.4269,64,90,43.21,4.68,1019,2021-10-16,1634417533
362,Poum,NC,-20.2333,164.0167,35,79,75.92,6.51,1015,2021-10-16,1634417533
363,Kawalu,ID,-7.3817,108.2082,100,93,73.22,1.25,1010,2021-10-16,1634417533
364,Along,IN,28.1667,94.7667,98,82,74.3,2.1,1011,2021-10-16,1634417534
365,Cartagena,CO,10.3997,-75.5144,75,74,83.82,11.5,1008,2021-10-16,1634417473
366,Borova,UA,50.1763,30.1043,48,92,46.54,5.57,1020,2021-10-16,1634417534
367,Maniitsoq,GL,65.4167,-52.9,1,54,35.92,7.49,1016,2021-10-16,1634417534
368,Petatlán,MX,17.5167,-101.2667,99,67,87.39,5.99,1010,2021-10-16,1634417534
369,Port-Gentil,GA,-0.7193,8.7815,40,83,78.76,10.36,1011,2021-10-16,1634417535
370,Los Llanos de Aridane,ES,28.6585,-17.9182,0,60,74.12,6.91,1016,2021-10-16,1634417535
371,Seydi,TM,39.4816,62.9137,0,26,53.51,9.24,1018,2021-10-16,1634417535
372,San Rafael,AR,-34.6177,-68.3301,0,10,75.61,17.47,1011,2021-10-16,1634417250
373,Qeshm,IR,26.9581,56.2719,0,60,80.49,7.34,1007,2021-10-16,1634417536
374,Port Blair,IN,11.6667,92.75,96,87,79.97,14.12,1006,2021-10-16,1634417536
375,Gamboula,CF,4.1178,15.1393,100,98,69.28,3.04,1013,2021-10-16,1634417536
376,Pāli,IN,25.7667,73.3333,1,29,77.02,3.2,1005,2021-10-16,1634417537
377,Ulaanbaatar,MN,47.9077,106.8832,0,78,8.73,0.0,1025,2021-10-16,1634417537
378,Guerrero Negro,MX,27.9769,-114.0611,0,21,85.95,5.75,1012,2021-10-16,1634417537
379,Kulachi,PK,31.9286,70.4592,0,14,80.01,6.87,1006,2021-10-16,1634417538
380,Severnoye,RU,56.3491,78.3619,0,89,37.18,3.65,1026,2021-10-16,1634417538
381,Noyabrsk,RU,63.1994,75.4507,100,86,42.53,17.67,1015,2021-10-16,1634417538
382,Gizo Government Station,SB,-8.103,156.8419,54,73,83.17,5.95,1012,2021-10-16,1634417539
383,San Ramon,US,37.7799,-121.978,1,25,88.92,1.01,1013,2021-10-16,1634417526
384,Lakes Entrance,AU,-37.8811,147.981,100,65,54.16,9.64,1014,2021-10-16,1634417539
385,Porto-Novo,BJ,6.4965,2.6036,4,84,76.82,6.58,1011,2021-10-16,1634417472
386,La Ronge,CA,55.1001,-105.2842,75,43,53.85,8.05,1012,2021-10-16,1634417539
387,Mitsamiouli,KM,-11.3847,43.2844,0,77,76.6,13.44,1013,2021-10-16,1634417540
388,Tamiahua,MX,21.2667,-97.45,96,86,76.96,23.73,1018,2021-10-16,1634417540
389,Roald,NO,62.5833,6.1333,40,65,41.16,10.36,1010,2021-10-16,1634417540
390,Ţahţā,EG,26.7693,31.5021,0,20,81.97,8.03,1015,2021-10-16,1634417541
391,Aklavik,CA,68.2191,-135.0107,75,93,23.83,3.44,1015,2021-10-16,1634417541
392,Dawson,US,31.7735,-84.4466,8,40,81.82,15.1,1014,2021-10-16,1634417321
393,Asău,RO,46.4333,26.4,100,83,50.76,3.29,1019,2021-10-16,1634417542
394,Benghazi,LY,32.1167,20.0667,82,59,71.17,12.37,1020,2021-10-16,1634417542
395,Jiexiu,CN,37.0244,111.9125,0,59,43.29,0.13,1033,2021-10-16,1634417542
396,Lábrea,BR,-7.2586,-64.7981,94,43,91.11,3.2,1004,2021-10-16,1634417543
397,Tasiilaq,GL,65.6145,-37.6368,99,71,22.53,5.86,1027,2021-10-16,1634417543
398,Dumas,US,35.8656,-101.9732,1,24,70.11,11.5,1027,2021-10-16,1634417543
399,Saint-Leu,RE,-21.15,55.2833,12,86,72.43,3.24,1019,2021-10-16,1634417544
400,Barra de Tecoanapa,MX,16.5167,-98.75,17,70,85.53,8.34,1010,2021-10-16,1634417544
401,Cap Malheureux,MU,-19.9842,57.6142,33,76,73.89,8.01,1019,2021-10-16,1634417544
402,Srikakulam,IN,18.3,83.9,100,90,78.01,2.82,1003,2021-10-16,1634417545
403,Bend,US,44.0582,-121.3153,1,18,77.25,1.99,1016,2021-10-16,1634417545
404,Phrae,TH,18.0833,100.0,100,99,73.85,2.82,1011,2021-10-16,1634417546
405,La Tuque,CA,47.4334,-72.7824,100,96,60.82,15.32,994,2021-10-16,1634417546
406,Lamu,KE,-2.2717,40.902,0,81,77.22,13.38,1010,2021-10-16,1634417546
407,Boddam,GB,57.4667,-1.7833,100,62,46.11,7.96,1015,2021-10-16,1634417546
408,Sioux Lookout,CA,50.1001,-91.917,40,50,53.67,13.8,1009,2021-10-16,1634417547
409,Santa Isabel Rio Negro,BR,-0.4139,-65.0192,97,40,93.9,3.8,1006,2021-10-16,1634417547
410,Waipawa,NZ,-41.4122,175.5153,100,62,56.44,11.81,1013,2021-10-16,1634417547
411,Richards Bay,ZA,-28.783,32.0377,100,84,66.47,12.48,1016,2021-10-16,1634417338
412,Blyth,GB,55.1271,-1.5086,100,93,53.29,2.95,1010,2021-10-16,1634417548
413,Witu,KE,-2.3889,40.4382,1,83,77.16,9.35,1010,2021-10-16,1634417548
414,Vardø,NO,70.3705,31.1107,100,94,41.61,18.79,987,2021-10-16,1634417548
415,Bismil,TR,37.8486,40.6658,0,24,64.13,3.76,1011,2021-10-16,1634417549
416,Arman',RU,59.7,150.1667,11,58,15.01,9.17,1014,2021-10-16,1634417549
417,Mahabalipuram,IN,12.6264,80.1722,100,85,82.45,13.73,1001,2021-10-16,1634417549
418,Omsukchan,RU,62.5333,155.8,100,95,1.74,4.5,1019,2021-10-16,1634417550
419,Tucumcari,US,35.1717,-103.725,1,22,68.94,12.66,1027,2021-10-16,1634417516
420,Belmonte,BR,-15.8631,-38.8828,43,82,80.6,9.71,1015,2021-10-16,1634417550
421,Shestakovo,RU,56.4915,103.96,100,97,33.49,5.73,1026,2021-10-16,1634417550
422,Vanavara,RU,60.34,102.2797,11,96,24.46,3.15,1028,2021-10-16,1634417551
423,Zhuhai,CN,22.2769,113.5678,40,78,75.06,26.46,1016,2021-10-16,1634417551
424,Ostrovnoy,RU,68.0531,39.5131,100,85,38.23,14.36,988,2021-10-16,1634417551
425,Csurgó,HU,46.2531,17.1006,18,71,49.14,4.34,1022,2021-10-16,1634417552
426,Meulaboh,ID,4.1363,96.1285,100,87,77.49,6.64,1008,2021-10-16,1634417552
427,Ust'-Kut,RU,56.7938,105.7672,90,90,28.9,5.97,1026,2021-10-16,1634417552
428,Quzhou,CN,28.9594,118.8686,100,83,54.39,7.74,1030,2021-10-16,1634417553
429,Altamira,BR,-3.2033,-52.2064,40,55,91.49,3.44,1008,2021-10-16,1634417553
430,Llanes,ES,43.4198,-4.7549,100,74,59.27,1.9,1017,2021-10-16,1634417553
431,Sabang,ID,5.8933,95.3214,100,75,81.57,5.55,1008,2021-10-16,1634417554
432,Chake Chake,TZ,-5.2459,39.7666,7,82,74.82,8.01,1011,2021-10-16,1634417554
433,Pallasovka,RU,50.05,46.8833,96,58,50.59,8.19,1019,2021-10-16,1634417554
434,Oodweyne,SO,9.4092,45.064,24,27,75.76,10.31,1010,2021-10-16,1634417554
435,Mezen',RU,65.8522,44.24,96,83,40.24,11.3,993,2021-10-16,1634417555
436,Huntsville,US,34.7304,-86.5861,1,41,66.56,3.0,1018,2021-10-16,1634417341
437,Powell River,CA,49.8496,-124.5361,90,100,55.99,11.5,1010,2021-10-16,1634417351
438,Rawson,AR,-43.3002,-65.1023,100,41,59.79,10.04,1013,2021-10-16,1634417300
439,Wiwilí,NI,13.6268,-85.8254,95,80,90.34,4.34,1010,2021-10-16,1634417556
440,Kaihua,CN,23.3687,104.28,100,93,50.77,7.87,1024,2021-10-16,1634417556
441,Amahai,ID,-3.3333,128.9167,59,86,78.48,3.98,1009,2021-10-16,1634417556
442,Russell,US,32.3502,-85.1999,1,48,74.35,17.27,1015,2021-10-16,1634417557
443,Kharan,PK,28.5833,65.4167,0,13,64.26,1.88,1010,2021-10-16,1634417557
444,Khor,RU,47.8861,134.9464,66,63,25.27,13.02,1013,2021-10-16,1634417557
445,Talcahuano,CL,-36.7167,-73.1167,0,67,58.68,20.71,1024,2021-10-16,1634417558
446,Tres Arroyos,AR,-38.3739,-60.2798,11,44,65.77,9.48,1016,2021-10-16,1634417558
447,Linfen,CN,36.0889,111.5189,1,56,47.91,2.64,1033,2021-10-16,1634417558
448,Sobradinho,BR,-12.8333,-39.1,97,78,76.19,8.16,1014,2021-10-16,1634417558
449,Asahikawa,JP,43.7678,142.3703,100,98,39.2,5.77,1009,2021-10-16,1634417559
450,Petersburg,US,37.2279,-77.4019,90,85,68.52,9.22,1007,2021-10-16,1634417559
451,Nālūt,LY,30.3333,10.85,72,17,65.71,8.21,1018,2021-10-16,1634417559
452,Teya,RU,60.3778,92.6267,100,99,36.07,3.15,1028,2021-10-16,1634417560
453,Metsavan,AM,41.2016,44.2288,94,89,45.84,1.25,1016,2021-10-16,1634417560
454,Khovd,MN,48.0056,91.6419,2,54,30.85,1.63,1027,2021-10-16,1634417560
455,Olds,CA,51.7834,-114.102,89,29,66.34,10.2,1004,2021-10-16,1634417561
456,Vila Franca do Campo,PT,37.7167,-25.4333,100,94,73.81,22.1,1011,2021-10-16,1634417561
457,Zarubino,RU,42.63,131.0922,0,45,32.63,18.54,1026,2021-10-16,1634417561
458,Virginia Beach,US,36.8529,-75.978,2,57,86.22,5.01,1006,2021-10-16,1634417450
459,Ubari,LY,26.5921,12.7805,0,27,73.24,9.64,1017,2021-10-16,1634417562
460,Mongo,TD,12.1844,18.693,39,67,80.28,2.04,1010,2021-10-16,1634417562
461,Mushie,CD,-3.0167,16.9,25,92,72.41,3.87,1010,2021-10-16,1634417584
462,Constantine,DZ,36.365,6.6147,0,67,58.41,3.44,1020,2021-10-16,1634417584
463,Bud,US,39.447,-86.1758,6,51,60.64,14.05,1018,2021-10-16,1634417584
464,Nouakchott,MR,18.0858,-15.9785,45,27,85.93,2.73,1010,2021-10-16,1634417542
465,Mahon,ES,39.8885,4.2658,0,77,63.16,4.61,1018,2021-10-16,1634417585
466,Arrondissement du Havre,FR,49.5833,0.3333,0,76,55.17,5.75,1020,2021-10-16,1634417585
467,Naze,JP,28.3667,129.4833,89,78,70.75,24.63,1015,2021-10-16,1634417585
468,Juneau,US,58.3019,-134.4197,96,97,42.85,3.09,1010,2021-10-16,1634417586
469,Nizhnyaya Tavda,RU,57.6731,66.1725,98,74,43.45,6.76,1019,2021-10-16,1634417586
470,Mizque,BO,-17.941,-65.3402,100,57,72.0,12.15,1008,2021-10-16,1634417586
471,Tura,IN,25.5198,90.2201,100,88,74.64,2.19,1007,2021-10-16,1634417587
472,Diego de Almagro,CL,-26.3667,-70.05,0,14,71.08,10.38,1015,2021-10-16,1634417288
473,Pokhara,NP,28.2333,83.9833,7,39,69.84,6.78,1011,2021-10-16,1634417371
474,Tokur,RU,53.1333,132.9,92,96,6.71,2.71,1017,2021-10-16,1634417587
475,Noormarkku,FI,61.5927,21.8685,75,61,44.38,16.11,997,2021-10-16,1634417587
476,Black Forest,US,39.0131,-104.7008,1,21,67.96,5.01,1027,2021-10-16,1634417588
477,Onega,RU,63.9061,38.1404,90,73,40.19,15.12,991,2021-10-16,1634417588
478,Manjo,CM,4.8428,9.8217,100,99,70.56,1.28,1015,2021-10-16,1634417588
479,Wad Rāwah,SD,15.1603,33.1397,37,19,89.92,5.61,1007,2021-10-16,1634417589
480,Mildura,AU,-34.2,142.15,68,93,44.56,4.61,1015,2021-10-16,1634417589
481,Tamandaré,BR,-8.7597,-35.1047,26,84,77.32,9.93,1014,2021-10-16,1634417589
482,Buala,SB,-8.145,159.5921,99,72,82.35,4.27,1013,2021-10-16,1634417590
483,Cortes,ES,41.9395,-1.4396,97,44,59.05,3.65,1017,2021-10-16,1634417590
484,Kampong Cham,KH,11.9934,105.4635,100,96,74.39,6.73,1008,2021-10-16,1634417590
485,Anadyr,RU,64.75,177.4833,40,79,25.3,15.01,1006,2021-10-16,1634417293
486,Sittwe,MM,20.15,92.9,100,88,78.21,8.9,1005,2021-10-16,1634417591
487,Sédhiou,SN,12.7081,-15.5569,86,75,79.83,6.49,1012,2021-10-16,1634417591
488,Chapais,CA,49.7834,-74.8492,100,96,53.38,9.51,993,2021-10-16,1634417591
489,Sitka,US,57.0531,-135.33,100,66,45.5,3.27,1008,2021-10-16,1634417592
490,Merauke,ID,-8.4667,140.3333,100,85,78.82,9.82,1011,2021-10-16,1634417592
491,Hobyo,SO,5.3505,48.5268,66,83,78.37,20.22,1008,2021-10-16,1634417592
492,Province of Mantua,IT,45.1667,10.7833,1,81,57.74,1.14,1019,2021-10-16,1634417593
493,Hvolsvollur,IS,63.7533,-20.2243,100,72,35.82,4.9,1014,2021-10-16,1634417593
494,Berlevåg,NO,70.8578,29.0864,100,98,38.89,29.3,990,2021-10-16,1634417593
495,Nabire,ID,-3.3667,135.4833,100,92,75.22,2.98,1011,2021-10-16,1634417594
496,Pisco,PE,-13.7,-76.2167,0,64,69.85,21.85,1013,2021-10-16,1634417594
497,Pokosnoye,RU,55.5258,101.0536,100,81,33.3,5.35,1028,2021-10-16,1634417594
498,Finschhafen,PG,-6.6024,147.8681,95,79,80.35,4.32,1012,2021-10-16,1634417595
499,Sørland,NO,67.667,12.6934,95,76,41.43,14.5,999,2021-10-16,1634417595
500,Esna,EG,25.2934,32.554,0,15,84.22,13.8,1013,2021-10-16,1634417595
501,Zeya,RU,53.75,127.2667,5,56,18.86,3.87,1018,2021-10-16,1634417596
502,Nagato,JP,34.3833,131.2,100,70,64.31,23.51,1018,2021-10-16,1634417596
503,Antofagasta,CL,-23.65,-70.4,10,73,60.08,11.01,1017,2021-10-16,1634417483
504,Sisimiut,GL,66.9395,-53.6735,3,62,28.15,12.28,1021,2021-10-16,1634417596
505,Mīnāb,IR,27.1467,57.0801,0,34,74.7,1.79,1007,2021-10-16,1634417597
506,Chimoio,MZ,-19.1164,33.4833,0,69,76.95,1.57,1014,2021-10-16,1634417597
507,Pergamino,AR,-33.89,-60.5736,0,35,71.26,3.96,1019,2021-10-16,1634417597
508,Sulangan,PH,11.1373,123.7228,23,76,82.27,3.4,1010,2021-10-16,1634417598
509,Taksimo,RU,56.3444,114.8794,100,72,21.43,1.68,1021,2021-10-16,1634417598
510,Orlik,RU,52.5178,99.825,7,60,22.14,1.66,1033,2021-10-16,1634417598
511,Salug,PH,8.1147,122.7833,53,87,78.62,3.8,1010,2021-10-16,1634417599
512,Pundaguitan,PH,6.3711,126.1689,71,76,83.03,6.91,1010,2021-10-16,1634417599
513,Marsh Harbour,BS,26.5412,-77.0636,46,66,81.23,5.26,1011,2021-10-16,1634417532
514,Atar,MR,20.5169,-13.0499,100,14,91.31,7.96,1012,2021-10-16,1634417600
515,Broome,US,42.2506,-75.833,90,86,60.01,4.0,990,2021-10-16,1634417600
516,Nurota,UZ,40.5614,65.6886,0,30,51.89,8.01,1018,2021-10-16,1634417600
517,Westport,US,41.1415,-73.3579,33,72,75.2,1.01,1002,2021-10-16,1634417601
518,Saint-François,FR,46.4154,3.9054,0,100,44.67,2.3,1020,2021-10-16,1634417601
519,Tuy Hoa,VN,13.0833,109.3,100,93,75.65,5.26,1006,2021-10-16,1634417601
520,Maceió,BR,-9.6658,-35.7353,75,83,81.84,6.91,1014,2021-10-16,1634417391
521,Toora-Khem,RU,52.4675,96.11,3,74,21.99,1.14,1033,2021-10-16,1634417602
522,Ust-Kuyga,RU,70.0167,135.6,93,100,-9.62,2.42,1024,2021-10-16,1634417602
523,Paamiut,GL,61.994,-49.6678,0,87,36.9,11.03,1015,2021-10-16,1634417602
524,Nouadhibou,MR,20.931,-17.0347,65,79,71.62,18.57,1012,2021-10-16,1634417602
525,Saint-Junien,FR,45.8833,0.9,9,75,54.18,2.8,1019,2021-10-16,1634417603
526,Santa Helena de Goiás,BR,-17.8136,-50.5969,58,52,85.26,1.39,1010,2021-10-16,1634417603
527,Mitú,CO,1.1983,-70.1733,95,82,79.3,0.83,1007,2021-10-16,1634417603
528,North Myrtle Beach,US,33.816,-78.68,20,79,86.29,1.99,1008,2021-10-16,1634417444
529,Mareeba,AU,-17.0,145.4333,50,94,71.44,1.5,1014,2021-10-16,1634417604
530,Vila,PT,42.0304,-8.1588,100,89,53.74,4.03,1018,2021-10-16,1634417604
531,Pitimbu,BR,-7.4706,-34.8086,23,81,77.59,14.56,1013,2021-10-16,1634417604
532,Kavaratti,IN,10.5669,72.642,100,83,80.55,19.01,1004,2021-10-16,1634417605
533,Mahon,ES,39.8885,4.2658,0,77,63.16,4.61,1018,2021-10-16,1634417605
534,Port Lincoln,AU,-34.7333,135.8667,69,79,54.01,7.45,1014,2021-10-16,1634417605
535,Anaco,VE,9.4389,-64.4728,98,54,86.68,5.86,1008,2021-10-16,1634417606
536,Turaif,SA,31.6725,38.6637,20,26,70.05,8.05,1018,2021-10-16,1634417606
537,Tot'ma,RU,59.9747,42.7642,41,91,38.75,9.4,1005,2021-10-16,1634417606
538,Taitung City,TW,22.7583,121.1444,25,84,75.34,22.48,1017,2021-10-16,1634417607
539,Ardakān,IR,32.31,54.0175,4,21,68.38,2.53,1013,2021-10-16,1634417607
540,San Borja,BO,-14.8167,-66.85,100,61,71.42,5.3,1012,2021-10-16,1634417607
541,Beyneu,KZ,45.3167,55.2,9,47,53.13,11.88,1022,2021-10-16,1634417607
542,Comodoro Rivadavia,AR,-45.8667,-67.5,20,31,60.66,16.11,1011,2021-10-16,1634417608
543,Vega de Alatorre,MX,20.0333,-96.6333,23,73,81.77,19.04,1017,2021-10-16,1634417608
